StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2022-10-05T01:30:00Z,APXMIDP,2022-10-05,6,50.46,1045.4
2022-10-05T01:00:00Z,APXMIDP,2022-10-05,5,69.0,1148.0
2022-10-05T00:30:00Z,APXMIDP,2022-10-05,4,32.16,1047.15
2022-10-05T00:00:00Z,APXMIDP,2022-10-05,3,37.76,942.2
2022-10-04T23:30:00Z,APXMIDP,2022-10-05,2,89.55,974.5
2022-10-04T23:00:00Z,APXMIDP,2022-10-05,1,91.91,927.85
2022-10-04T22:30:00Z,APXMIDP,2022-10-04,48,90.91,780.95
2022-10-04T22:00:00Z,APXMIDP,2022-10-04,47,104.75,833.45
2022-10-04T21:30:00Z,APXMIDP,2022-10-04,46,119.16,1510.65
2022-10-04T21:00:00Z,APXMIDP,2022-10-04,45,115.63,1203.7
2022-10-04T20:30:00Z,APXMIDP,2022-10-04,44,128.95,968.35
2022-10-04T20:00:00Z,APXMIDP,2022-10-04,43,126.2,946.8
2022-10-04T19:30:00Z,APXMIDP,2022-10-04,42,155.42,1300.7
2022-10-04T19:00:00Z,APXMIDP,2022-10-04,41,185.99,1652.65
2022-10-04T18:30:00Z,APXMIDP,2022-10-04,40,198.15,1288.1
2022-10-04T18:00:00Z,APXMIDP,2022-10-04,39,201.71,1584.1
2022-10-04T17:30:00Z,APXMIDP,2022-10-04,38,186.25,2057.55
2022-10-04T17:00:00Z,APXMIDP,2022-10-04,37,190.47,2119.55
2022-10-04T16:30:00Z,APXMIDP,2022-10-04,36,203.44,2346.65
2022-10-04T16:00:00Z,APXMIDP,2022-10-04,35,182.82,1924.1
2022-10-04T15:30:00Z,APXMIDP,2022-10-04,34,163.72,2213.7
2022-10-04T15:00:00Z,APXMIDP,2022-10-04,33,153.05,2104.9
2022-10-04T14:30:00Z,APXMIDP,2022-10-04,32,154.66,1425.75
2022-10-04T14:00:00Z,APXMIDP,2022-10-04,31,161.76,1852.55
2022-10-04T13:30:00Z,APXMIDP,2022-10-04,30,129.53,1752.65
2022-10-04T13:00:00Z,APXMIDP,2022-10-04,29,139.26,1832.4
2022-10-04T12:30:00Z,APXMIDP,2022-10-04,28,143.87,1893.35
2022-10-04T12:00:00Z,APXMIDP,2022-10-04,27,149.03,1751.85
2022-10-04T11:30:00Z,APXMIDP,2022-10-04,26,154.08,1800.5
2022-10-04T11:00:00Z,APXMIDP,2022-10-04,25,146.69,1684.3
2022-10-04T10:30:00Z,APXMIDP,2022-10-04,24,136.57,1709.2
2022-10-04T10:00:00Z,APXMIDP,2022-10-04,23,132.14,1638.15
2022-10-04T09:30:00Z,APXMIDP,2022-10-04,22,141.1,1305.85
2022-10-04T09:00:00Z,APXMIDP,2022-10-04,21,138.97,1210.6
2022-10-04T08:30:00Z,APXMIDP,2022-10-04,20,153.8,1354.0
2022-10-04T08:00:00Z,APXMIDP,2022-10-04,19,156.61,1404.75
2022-10-04T07:30:00Z,APXMIDP,2022-10-04,18,173.22,1586.2
2022-10-04T07:00:00Z,APXMIDP,2022-10-04,17,162.12,1366.85
2022-10-04T06:30:00Z,APXMIDP,2022-10-04,16,140.4,1867.8
2022-10-04T06:00:00Z,APXMIDP,2022-10-04,15,121.57,1454.0
2022-10-04T05:30:00Z,APXMIDP,2022-10-04,14,179.2,1458.7
2022-10-04T05:00:00Z,APXMIDP,2022-10-04,13,211.32,1202.1
2022-10-04T04:30:00Z,APXMIDP,2022-10-04,12,196.3,1066.7
2022-10-04T04:00:00Z,APXMIDP,2022-10-04,11,188.38,919.35
2022-10-04T03:30:00Z,APXMIDP,2022-10-04,10,182.75,1193.25
2022-10-04T03:00:00Z,APXMIDP,2022-10-04,9,186.3,1137.6
2022-10-04T02:30:00Z,APXMIDP,2022-10-04,8,193.65,1017.35
2022-10-04T02:00:00Z,APXMIDP,2022-10-04,7,197.23,1057.95
2022-10-04T01:30:00Z,APXMIDP,2022-10-04,6,197.53,1222.45
2022-10-04T01:00:00Z,APXMIDP,2022-10-04,5,195.15,964.7
2022-10-04T00:30:00Z,APXMIDP,2022-10-04,4,191.8,830.05
2022-10-04T00:00:00Z,APXMIDP,2022-10-04,3,185.7,1027.5
2022-10-03T23:30:00Z,APXMIDP,2022-10-04,2,190.33,1046.0
2022-10-03T23:00:00Z,APXMIDP,2022-10-04,1,209.66,963.6
2022-10-03T22:30:00Z,APXMIDP,2022-10-03,48,203.5,967.5
2022-10-03T22:00:00Z,APXMIDP,2022-10-03,47,195.35,1000.0
2022-10-03T21:30:00Z,APXMIDP,2022-10-03,46,174.74,1791.25
2022-10-03T21:00:00Z,APXMIDP,2022-10-03,45,175.43,1502.4
2022-10-03T20:30:00Z,APXMIDP,2022-10-03,44,173.46,1502.6
2022-10-03T20:00:00Z,APXMIDP,2022-10-03,43,158.38,1576.95
2022-10-03T19:30:00Z,APXMIDP,2022-10-03,42,185.9,1430.35
2022-10-03T19:00:00Z,APXMIDP,2022-10-03,41,183.22,1715.9
2022-10-03T18:30:00Z,APXMIDP,2022-10-03,40,192.6,1901.3
2022-10-03T18:00:00Z,APXMIDP,2022-10-03,39,212.58,1718.6
2022-10-03T17:30:00Z,APXMIDP,2022-10-03,38,198.42,1852.9
2022-10-03T17:00:00Z,APXMIDP,2022-10-03,37,196.36,1940.4
2022-10-03T16:30:00Z,APXMIDP,2022-10-03,36,194.88,1981.65
2022-10-03T16:00:00Z,APXMIDP,2022-10-03,35,204.95,1880.55
2022-10-03T15:30:00Z,APXMIDP,2022-10-03,34,197.78,1990.65
2022-10-03T15:00:00Z,APXMIDP,2022-10-03,33,217.13,2244.75
2022-10-03T14:30:00Z,APXMIDP,2022-10-03,32,187.28,1821.8
2022-10-03T14:00:00Z,APXMIDP,2022-10-03,31,172.91,1571.35
2022-10-03T13:30:00Z,APXMIDP,2022-10-03,30,172.9,1372.95
